tweet,username,target
Terrebonne: Gray: The LA 660 Coteau Rd Bridge will be closed between LA 24 West (West Park Ave) and LA 24 East (West Main St) from 2/25 until approx. 10/31 due to road construction. Detour: Jody Bridge (0.5 miles south of closure) or Darlene Bridge (0.5 miles north of closure).,Houma_Traffic,1
"Western State East Standings: 1. Citrus 22-6, 10-0 2. LA Valley 16-12, 6-4 3. Victor Valley 12-14, 4-6 4. Antelope Valley 11-17, 4-6 5. Glendale 11-17, 4-6 6. Barstow 3-24, 2-8",sgnlthelgthoops,1
"South Coast North Standings: 1. East Los Angeles 24-4, 9-1 2. Chaffey 21-7, 8-2 3. Pasadena 17-11, 5-5 4. Mt. San Antonio 12-15, 4-6 5. LA Trade Tech 17-10, 1-9 6. Rio Hondo 4-24, 1-9",sgnlthelgthoops,1
All lanes are open I-10 East at mile marker 121 (Butte La Rose). Congestion remains minimal.,Laf_Traffic,1
The exit ramp I-10 East at mile marker 121 (Butte La Rose) is blocked due to a disabled tractor trailer. Congestion is minimal.,Laf_Traffic,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany https://www.youtube.com/watch?v=1DhA69K3fZ4",TJMENDES3,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany https://www.youtube.com/watch?v=pgHrRi91-Mk",TJMENDES3,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany https://www.youtube.com/watch?v=DiItGE3eAyQ",TJMENDES3,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany https://www.youtube.com/watch?v=kJQP7kiw5Fk",TJMENDES3,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany ",TJMENDES3,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany ",TJMENDES3,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany ",TJMENDES3,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany https://www.youtube.com/watch?v=7jpqqBX-Myw",TJMENDES3,1
" @thecapt881 Captain is open tonight FEB 23, I may or may not be drinking beforehand, so plan accordingly. we’re having a Texas night 1130PM East Coast (Peru, Canada) 10 PM CST time (Texas, Mexico) 8 PM LA, PST/ 2AM Brasil/ 5AM Czech, Spain, Germany https://www.youtube.com/watch?v=Pv0PAchVGCw",TJMENDES3,1
How you run 10 miles in east LA when there is literally no where to run... #d3powered #travelingtriathlete #running #noexcuses https://www.instagram.com/p/BuPeOXsDjQV/?utm_source=ig_twitter_share&amp;igshid=1gov1ws0dzffc,DanaWareWillett,1
we fr got bombarded and pressed by AT LEAST 10 people last night for no reason besides us being parked in a random neighborhood lmaooo they think this east LA,DONUTSNBOOTY,0
