,tweet,username,date,after_incident,langs
0,"anyway we were on constellation blvd listening to the new soundtrack and the streetlights were flickering when we saw the spaceship @Century City, Los Angeles https://www.instagram.com/p/BorfrzmFQhk/?utm_source=ig_twitter_share&amp;igshid=n3df7xbns36k",centralsiberia,Mon Oct 08 16:56:59 +0000 2018,1,en
1,"Now you can pick up some #matcha #lipbalm constellationcoffeela Made with love for the love of tea. • Constellation Coffee locate at 468 Foothill Blvd. Suite B La Canada Flintridge, Ca @… https://www.instagram.com/p/BoIUKEUhcsp/?utm_source=ig_twitter_share&amp;igshid=1j9pbae24z6jx",essanceskincare,Tue Sep 25 01:02:12 +0000 2018,1,en
2,"Just Listed! 1500 W 101st St Los Angeles, CA 2 Units 2 Bedroom 1 Bath 1,711 sq ft 8,655 sq ft lot Contact Me: : 323-350-9701 : derrick@alexanderluxproperties.com A prime opportunity to invest in real… https://www.instagram.com/p/B_5x_YrgQ9D/?igshid=125wb41pfv2sc",TBKS_1986,Thu May 07 22:07:40 +0000 2020,1,en
3,"1) I'm Salvadorean born and raised in Los Angeles, CA 2) I'm married to my soulmate (but he doesn't play ACNH which is why I'm on here) 3) I have 4 dogs, 3 of them are senior pets 4) Love horror movies 5) I have a green thumb and love to garden ",Lobos98986565,Thu May 07 03:44:44 +0000 2020,1,en
4,"It’s TACOMANIA again tomorrow at La Villa Kitchen (1144 Via Verde, San Dimas CA). 2 free tacos on #CincoDeMayo, just mention @kroq. Big thank you to @morgxn for his donation! We’ll be heading out there after my show. See you then! ",MeganHoliday,Mon May 04 20:23:03 +0000 2020,1,en
5,"Yup! I keep sending it via tweets to journalists, local officials & trump. No one responds, accept one advisor to our local mayor. He seemed to have no problem with it. It was super sketchy.. how he responded to me in a private message. I am LoNG Beach, CA. 2 Ports China strong.",SuzanneToro,Mon May 04 04:42:47 +0000 2020,1,en
6,"@USPSHelp have to say I’m a little frustrated with the @usps. Ordered stamps online on April 18 in order to stay socially distanced &amp; saw that the order left Kansas City yesterday (we’re in CA). 2 weeks+ for stamps? Seems a bit long, no?",wadepack,Sun May 03 23:29:31 +0000 2020,1,en
7,"2+ Bedrooms and so Much More! • City of Lakewood, CA. 2 / 2 1,371 SQFT Asking $656,250 • The real estate market is changing day by day, keep a close eye on upcoming opportunities! • Jarrod Lujan 562.824.3815 call / text Century 21 Astro BRE#01403081 #lakewood",JarrodC21,Mon Apr 13 16:40:14 +0000 2020,1,en
8,"Now ANYONE can own a home! • City of Norwalk, CA. 2 / 1 765 SQFT Asking $348,888 • Are you ready? ... Questions? • Jarrod Lujan 562.824.3815 call / text Century 21 Astro BRE#01403081 • If you’re ready to talk about selling or buying a home, get in touch with me! ",JarrodC21,Tue Apr 07 15:12:36 +0000 2020,1,en
9,"Incredible Price! • City of Norwalk, CA 2 / 1 765 SQFT $389,000 • Become a homeowner under $400,000! • Jarrod Lujan 562.824.3815 call / text Century 21 Astro BRE#01403081 • If you’re ready to talk about selling or buying real estate, get in touch with me today! ",JarrodC21,Mon Apr 06 15:05:56 +0000 2020,1,en
10,"From California Governor Gavin Newsom: 10,710 cases of Covid-19 in CA 2,188 are in the hospital 901 in ICU (up 10.4% in a day) @ABC7",ABC7Jory,Fri Apr 03 19:28:10 +0000 2020,1,en
11,"1. Playing roller hockey in Reseda,CA. 2. Having the opportunity to pursue my career in Sweden. #grateful #thankyou",cptjaybee10,Tue Mar 24 18:45:29 +0000 2020,1,en
12,"DROPPED 2 NEW INTERVIEWS TODAY: 1.) @CBTPodcast (Oakland, CA): https://podcasts.apple.com/us/podcast/cant-be-trusted-podcast/id1322835691?i=1000467858956 2.) #AWayWithWordsThePodcast (Chicago, IL): https://podcasts.apple.com/us/podcast/away-with-words-the-podcast/id1127178066?i=1000467851844 #theINDEPENDENCEtour ",Brycesavoy510,Tue Mar 10 03:57:24 +0000 2020,1,en
13,"Awesome!!! John, did you percutaneously macerate the entire length of that 4-5cm Ca2++ lesion or did you target the proximal vs distal cap?",SDhandMD,Thu Feb 20 17:46:57 +0000 2020,1,en
